room,npc,str,ptrFieldAddr,textAddr
38,0,1,0x1c951c,0x1c9558
38,1,0,0x1c95a4,0x1c95a6
38,2,0,0x1c966e,0x1c9670
39,0,0,0x1c969e,0x1c96a2
39,0,1,0x1c96a0,0x1c9768
40,0,0,0x1c9784,0x1c978a
40,0,1,0x1c9786,0x1c97c0
40,0,2,0x1c9788,0x1c97c6
41,0,0,0x1c980a,0x1c980c
41,1,0,0x1c9812,0x1c9814
42,0,0,0x1c981e,0x1c9820
42,1,0,0x1c986e,0x1c9872
42,1,1,0x1c9870,0x1c98c8
43,0,0,0x1c9912,0x1c9918
43,0,1,0x1c9914,0x1c99a2
43,0,2,0x1c9916,0x1c99dc
43,1,0,0x1c9a5c,0x1c9a62
43,1,1,0x1c9a5e,0x1c9aaa
43,1,2,0x1c9a60,0x1c9b62
43,2,0,0x1c9ba4,0x1c9ba8
43,2,1,0x1c9ba6,0x1c9c2e
43,3,0,0x1c9c7a,0x1c9c80
43,3,1,0x1c9c7c,0x1c9cc8
43,3,2,0x1c9c7e,0x1c9d18
44,0,0,0x1c9da0,0x1c9db2
44,0,1,0x1c9da2,0x1c9e10
44,0,2,0x1c9da4,0x1c9e8e
44,0,3,0x1c9da6,0x1c9ec4
44,0,4,0x1c9da8,0x1c9f5a
44,0,5,0x1c9daa,0x1c9fec
44,0,6,0x1c9dac,0x1ca018
44,0,7,0x1c9dae,0x1ca0d0
44,0,8,0x1c9db0,0x1ca1ec
45,0,0,0x1ca21c,0x1ca21e
45,1,0,0x1ca254,0x1ca256
45,2,0,0x1ca28e,0x1ca290
45,3,0,0x1ca2ca,0x1ca2cc
45,4,0,0x1ca30c,0x1ca30e
45,5,0,0x1ca364,0x1ca366
45,6,0,0x1ca3ae,0x1ca3b0
45,7,0,0x1ca3f4,0x1ca3f6
45,8,0,0x1ca444,0x1ca44a
45,8,1,0x1ca446,0x1ca4ba
45,8,2,0x1ca448,0x1ca556
45,9,0,0x1ca5a4,0x1ca5a6
46,0,0,0x1ca21c,0x1ca21e
46,1,0,0x1ca254,0x1ca256
46,2,0,0x1ca28e,0x1ca290
46,3,0,0x1ca2ca,0x1ca2cc
46,4,0,0x1ca30c,0x1ca30e
46,5,0,0x1ca364,0x1ca366
46,6,0,0x1ca3ae,0x1ca3b0
46,7,0,0x1ca3f4,0x1ca3f6
46,8,0,0x1ca444,0x1ca44a
46,8,1,0x1ca446,0x1ca4ba
46,8,2,0x1ca448,0x1ca556
46,9,0,0x1ca5a4,0x1ca5a6
47,0,0,0x1ca660,0x1ca664
47,0,1,0x1ca662,0x1ca6ea
48,0,0,0x1ca72c,0x1ca736
48,0,1,0x1ca72e,0x1ca7c0
48,0,2,0x1ca730,0x1ca7c6
48,0,3,0x1ca732,0x1ca83c
48,0,4,0x1ca734,0x1ca8be
48,1,0,0x1ca8fc,0x1ca910
48,1,1,0x1ca8fe,0x1ca9c0
48,1,2,0x1ca900,0x1caa22
48,1,3,0x1ca902,0x1caa6e
48,1,4,0x1ca904,0x1caab4
48,1,5,0x1ca906,0x1caaba
48,1,6,0x1ca908,0x1cab22
48,1,7,0x1ca90a,0x1cab80
48,1,8,0x1ca90c,0x1cac0a
48,1,9,0x1ca90e,0x1cac94
48,2,0,0x1cacf8,0x1cacfe
48,2,1,0x1cacfa,0x1cad5a
48,2,2,0x1cacfc,0x1cad98
48,3,0,0x1cadf2,0x1cadf4
49,0,0,0x1cae32,0x1cae36
49,0,1,0x1cae34,0x1cae3c
49,1,0,0x1cae8c,0x1cae90
49,1,1,0x1cae8e,0x1cae96
49,2,0,0x1caeee,0x1caef0
50,0,0,0x1cae32,0x1cae36
50,0,1,0x1cae34,0x1cae3c
50,1,0,0x1cae8c,0x1cae90
50,1,1,0x1cae8e,0x1cae96
50,2,0,0x1caeee,0x1caef0
51,0,0,0x1cae32,0x1cae36
51,0,1,0x1cae34,0x1cae3c
51,1,0,0x1cae8c,0x1cae90
51,1,1,0x1cae8e,0x1cae96
51,2,0,0x1caeee,0x1caef0
52,0,0,0x1caf22,0x1caf26
52,0,1,0x1caf24,0x1caf2c
52,1,0,0x1caf80,0x1caf84
52,1,1,0x1caf82,0x1caf8a
52,2,0,0x1cafd0,0x1cafd2
53,0,0,0x1caf22,0x1caf26
53,0,1,0x1caf24,0x1caf2c
53,1,0,0x1caf80,0x1caf84
53,1,1,0x1caf82,0x1caf8a
53,2,0,0x1cafd0,0x1cafd2
54,0,0,0x1caffe,0x1cb004
54,0,1,0x1cb000,0x1cb088
54,0,2,0x1cb002,0x1cb138
55,0,0,0x1caffe,0x1cb004
55,0,1,0x1cb000,0x1cb088
55,0,2,0x1cb002,0x1cb138
56,0,0,0x1caffe,0x1cb004
56,0,1,0x1cb000,0x1cb088
56,0,2,0x1cb002,0x1cb138
57,0,0,0x1cb184,0x1cb188
57,0,1,0x1cb186,0x1cb204
57,1,0,0x1cb264,0x1cb268
57,1,1,0x1cb266,0x1cb2b0
57,2,0,0x1cb2ee,0x1cb2f4
57,2,1,0x1cb2f0,0x1cb32a
57,2,2,0x1cb2f2,0x1cb376
58,0,0,0x1cb41c,0x1cb420
58,0,1,0x1cb41e,0x1cb494
59,0,0,0x1cb4d6,0x1cb4dc
59,0,1,0x1cb4d8,0x1cb536
59,0,2,0x1cb4da,0x1cb594
59,1,0,0x1cb5ce,0x1cb5d4
59,1,1,0x1cb5d0,0x1cb624
59,1,2,0x1cb5d2,0x1cb67a
59,2,0,0x1cb6c0,0x1cb6c6
59,2,1,0x1cb6c2,0x1cb74e
59,2,2,0x1cb6c4,0x1cb798
60,0,0,0x1cb800,0x1cb806
60,0,1,0x1cb802,0x1cb890
60,0,2,0x1cb804,0x1cb902
60,1,0,0x1cb94e,0x1cb95c
60,1,1,0x1cb950,0x1cb9e6
60,1,2,0x1cb952,0x1cba3c
60,1,3,0x1cb954,0x1cba92
60,1,4,0x1cb956,0x1cbadc
60,1,5,0x1cb958,0x1cbb66
60,1,6,0x1cb95a,0x1cbbb0
60,2,0,0x1cbc18,0x1cbc24
60,2,1,0x1cbc1a,0x1cbca2
60,2,2,0x1cbc1c,0x1cbde2
60,2,3,0x1cbc1e,0x1cbe34
60,2,4,0x1cbc20,0x1cbe84
60,2,5,0x1cbc22,0x1cbf0c
61,0,0,0x1cbf44,0x1cbf52
61,0,1,0x1cbf46,0x1cbfb0
61,0,2,0x1cbf48,0x1cc02a
61,0,3,0x1cbf4a,0x1cc08c
61,0,4,0x1cbf4c,0x1cc190
61,0,5,0x1cbf4e,0x1cc1dc
61,0,6,0x1cbf50,0x1cc22e
62,0,0,0x1cc2c2,0x1cc2c4
62,1,0,0x1cc326,0x1cc328
62,2,0,0x1cc362,0x1cc364
63,0,0,0x1cc3a4,0x1cc3a6
64,0,0,0x1cc3ec,0x1cc3f0
64,0,1,0x1cc3ee,0x1cc46c
65,0,0,0x1cc3ec,0x1cc3f0
65,0,1,0x1cc3ee,0x1cc46c
66,0,0,0x1cc3ec,0x1cc3f0
66,0,1,0x1cc3ee,0x1cc46c
67,0,0,0x1cc4f4,0x1cc4f8
67,0,1,0x1cc4f6,0x1cc586
67,1,0,0x1cc5c2,0x1cc5c4
67,2,0,0x1cc622,0x1cc626
67,2,1,0x1cc624,0x1cc6ba
68,0,0,0x1cc73e,0x1cc742
68,0,1,0x1cc740,0x1cc7c4
68,1,0,0x1cc80c,0x1cc812
68,1,1,0x1cc80e,0x1cc8a6
68,1,2,0x1cc810,0x1cc92a
68,2,0,0x1cc994,0x1cc996
